id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,rollout width,48,47,21,100,280,ship,baseline,monotonic-signal,raise-signal
m002,g002,quota pressure,41,56,15,26,145,watch,edge,drag-penalty,drop-slack
m003,g003,route drift,90,10,42,85,234,ship,recovery,confidence-floor,raise-drag
m004,g004,secret scope,74,54,4,14,218,ship,negative,lane-boundary,lower-confidence
m005,g005,rollout width,78,43,11,46,258,ship,baseline,monotonic-signal,raise-signal
m006,g006,quota pressure,114,29,37,60,266,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,52,41,17,71,236,ship,recovery,confidence-floor,raise-drag
m008,g008,secret scope,69,9,40,25,77,hold,negative,lane-boundary,lower-confidence
m009,g009,rollout width,46,31,35,26,70,hold,baseline,monotonic-signal,raise-signal
m010,g010,quota pressure,68,33,34,25,117,watch,edge,drag-penalty,drop-slack
m011,g011,route drift,87,53,42,29,159,watch,recovery,confidence-floor,raise-drag
m012,g012,secret scope,56,25,37,65,156,watch,negative,lane-boundary,lower-confidence
m013,g013,rollout width,97,14,39,21,133,watch,baseline,monotonic-signal,raise-signal
m014,g014,quota pressure,64,35,21,40,180,watch,edge,drag-penalty,drop-slack
m015,g015,route drift,99,29,21,54,272,ship,recovery,confidence-floor,raise-drag
m016,g016,secret scope,32,58,12,53,192,ship,negative,lane-boundary,lower-confidence
m017,g017,rollout width,99,75,33,33,240,ship,baseline,monotonic-signal,raise-signal
m018,g018,quota pressure,35,40,24,64,166,watch,edge,drag-penalty,drop-slack
m019,g019,route drift,99,77,49,84,296,ship,recovery,confidence-floor,raise-drag
m020,g020,secret scope,90,57,11,86,376,ship,negative,lane-boundary,lower-confidence
m021,g021,rollout width,54,50,39,25,91,hold,baseline,monotonic-signal,raise-signal
m022,g022,quota pressure,70,3,12,84,275,ship,edge,drag-penalty,drop-slack
m023,g023,route drift,42,68,28,26,120,watch,recovery,confidence-floor,raise-drag
m024,g024,secret scope,32,28,6,32,138,watch,negative,lane-boundary,lower-confidence
m025,g025,rollout width,83,71,42,59,229,ship,baseline,monotonic-signal,raise-signal
m026,g026,quota pressure,55,58,20,70,248,ship,edge,drag-penalty,drop-slack
m027,g027,route drift,49,36,38,37,94,hold,recovery,confidence-floor,raise-drag
m028,g028,secret scope,49,22,38,12,30,hold,negative,lane-boundary,lower-confidence
m029,g029,rollout width,62,17,22,24,123,watch,baseline,monotonic-signal,raise-signal
m030,g030,quota pressure,102,41,37,28,190,ship,edge,drag-penalty,drop-slack
m031,g031,route drift,86,72,32,77,302,ship,recovery,confidence-floor,raise-drag
m032,g032,secret scope,80,15,20,7,129,watch,negative,lane-boundary,lower-confidence
m033,g033,rollout width,91,59,19,39,262,ship,baseline,monotonic-signal,raise-signal
m034,g034,quota pressure,43,37,20,53,169,watch,edge,drag-penalty,drop-slack
m035,g035,route drift,115,45,29,65,318,ship,recovery,confidence-floor,raise-drag
m036,g036,secret scope,110,46,24,19,232,ship,negative,lane-boundary,lower-confidence
m037,g037,rollout width,76,14,6,63,274,ship,baseline,monotonic-signal,raise-signal
m038,g038,quota pressure,93,25,41,83,254,ship,edge,drag-penalty,drop-slack
m039,g039,route drift,110,49,46,98,327,ship,recovery,confidence-floor,raise-drag
m040,g040,secret scope,78,58,18,11,182,ship,negative,lane-boundary,lower-confidence
m041,g041,rollout width,118,30,9,83,405,ship,baseline,monotonic-signal,raise-signal
m042,g042,quota pressure,40,8,27,25,57,hold,edge,drag-penalty,drop-slack
m043,g043,route drift,97,51,45,44,198,ship,recovery,confidence-floor,raise-drag
m044,g044,secret scope,41,34,24,45,134,watch,negative,lane-boundary,lower-confidence
m045,g045,rollout width,114,63,39,69,312,ship,baseline,monotonic-signal,raise-signal
m046,g046,quota pressure,52,0,6,36,158,watch,edge,drag-penalty,drop-slack
m047,g047,route drift,73,56,40,24,130,watch,recovery,confidence-floor,raise-drag
m048,g048,secret scope,43,12,27,10,37,hold,negative,lane-boundary,lower-confidence
m049,g049,rollout width,85,62,5,27,271,ship,baseline,monotonic-signal,raise-signal
m050,g050,quota pressure,52,44,16,76,252,ship,edge,drag-penalty,drop-slack
m051,g051,route drift,43,19,30,105,225,ship,recovery,confidence-floor,raise-drag
m052,g052,secret scope,86,73,7,25,274,ship,negative,lane-boundary,lower-confidence
m053,g053,rollout width,120,33,22,52,311,ship,baseline,monotonic-signal,raise-signal
m054,g054,quota pressure,83,65,10,64,329,ship,edge,drag-penalty,drop-slack
m055,g055,route drift,73,74,12,31,246,ship,recovery,confidence-floor,raise-drag
m056,g056,secret scope,115,41,4,49,357,ship,negative,lane-boundary,lower-confidence
m057,g057,rollout width,105,27,5,82,386,ship,baseline,monotonic-signal,raise-signal
m058,g058,quota pressure,90,11,7,97,364,ship,edge,drag-penalty,drop-slack
m059,g059,route drift,90,57,16,23,235,ship,recovery,confidence-floor,raise-drag
m060,g060,secret scope,94,77,33,69,304,ship,negative,lane-boundary,lower-confidence
m061,g061,rollout width,64,20,26,24,118,watch,baseline,monotonic-signal,raise-signal
m062,g062,quota pressure,39,53,24,43,145,watch,edge,drag-penalty,drop-slack
m063,g063,route drift,33,53,52,57,77,hold,recovery,confidence-floor,raise-drag
m064,g064,secret scope,35,50,36,55,122,watch,negative,lane-boundary,lower-confidence
m065,g065,rollout width,93,51,12,35,271,ship,baseline,monotonic-signal,raise-signal
m066,g066,quota pressure,68,8,23,23,121,watch,edge,drag-penalty,drop-slack
m067,g067,route drift,63,41,16,22,163,watch,recovery,confidence-floor,raise-drag
m068,g068,secret scope,108,54,24,13,224,ship,negative,lane-boundary,lower-confidence
m069,g069,rollout width,55,63,33,75,224,ship,baseline,monotonic-signal,raise-signal
m070,g070,quota pressure,63,24,18,104,304,ship,edge,drag-penalty,drop-slack
m071,g071,route drift,31,24,19,37,103,hold,recovery,confidence-floor,raise-drag
m072,g072,secret scope,62,56,32,38,160,watch,negative,lane-boundary,lower-confidence
m073,g073,rollout width,90,39,43,63,216,ship,baseline,monotonic-signal,raise-signal
m074,g074,quota pressure,50,57,8,30,193,ship,edge,drag-penalty,drop-slack
m075,g075,route drift,82,15,41,61,178,watch,recovery,confidence-floor,raise-drag
m076,g076,secret scope,58,61,7,68,292,ship,negative,lane-boundary,lower-confidence
m077,g077,rollout width,102,17,37,96,302,ship,baseline,monotonic-signal,raise-signal
m078,g078,quota pressure,114,56,32,22,232,ship,edge,drag-penalty,drop-slack
m079,g079,route drift,84,60,38,81,276,ship,recovery,confidence-floor,raise-drag
m080,g080,secret scope,117,24,32,10,182,ship,negative,lane-boundary,lower-confidence
m081,g081,rollout width,102,8,34,42,194,ship,baseline,monotonic-signal,raise-signal
m082,g082,quota pressure,84,27,36,56,199,ship,edge,drag-penalty,drop-slack
m083,g083,route drift,39,11,25,67,148,watch,recovery,confidence-floor,raise-drag
m084,g084,secret scope,64,9,11,21,146,watch,negative,lane-boundary,lower-confidence
m085,g085,rollout width,45,46,9,22,153,watch,baseline,monotonic-signal,raise-signal
m086,g086,quota pressure,114,21,30,21,201,ship,edge,drag-penalty,drop-slack
m087,g087,route drift,68,27,28,25,129,watch,recovery,confidence-floor,raise-drag
m088,g088,secret scope,49,62,39,61,165,watch,negative,lane-boundary,lower-confidence
m089,g089,rollout width,52,12,8,103,298,ship,baseline,monotonic-signal,raise-signal
m090,g090,quota pressure,43,14,36,36,64,hold,edge,drag-penalty,drop-slack
m091,g091,route drift,47,69,16,50,215,ship,recovery,confidence-floor,raise-drag
m092,g092,secret scope,96,58,18,49,294,ship,negative,lane-boundary,lower-confidence
m093,g093,rollout width,89,55,45,29,156,watch,baseline,monotonic-signal,raise-signal
m094,g094,quota pressure,74,45,39,60,196,ship,edge,drag-penalty,drop-slack
m095,g095,route drift,76,24,24,80,264,ship,recovery,confidence-floor,raise-drag
m096,g096,secret scope,37,46,28,82,200,ship,negative,lane-boundary,lower-confidence
