id,focus,signal,slack,drag,confidence,score,lane
l001,quota pressure,35,33,6,25,135,watch
l002,route drift,35,34,6,55,196,ship
l003,secret scope,35,35,6,85,257,ship
l004,rollout width,35,36,18,25,102,hold
l005,quota pressure,35,37,18,55,163,watch
l006,route drift,35,38,18,85,224,ship
l007,secret scope,35,39,34,25,57,hold
l008,rollout width,35,40,34,55,118,watch
l009,quota pressure,35,41,34,85,179,watch
l010,route drift,60,42,6,25,194,ship
l011,secret scope,60,43,6,55,255,ship
l012,rollout width,60,44,6,85,316,ship
l013,quota pressure,60,45,18,25,161,watch
l014,route drift,60,46,18,55,222,ship
l015,secret scope,60,47,18,85,283,ship
l016,rollout width,60,48,34,25,116,watch
l017,quota pressure,60,32,34,55,160,watch
l018,route drift,60,33,34,85,221,ship
l019,secret scope,85,34,6,25,236,ship
l020,rollout width,85,35,6,55,297,ship
l021,quota pressure,85,36,6,85,358,ship
l022,route drift,85,37,18,25,203,ship
l023,secret scope,85,38,18,55,264,ship
l024,rollout width,85,39,18,85,325,ship
l025,quota pressure,85,40,34,25,158,watch
l026,route drift,85,41,34,55,219,ship
l027,secret scope,85,42,34,85,280,ship
